stock_index,stock_name,yeji_predict,_c3,stock_date
300498,温氏股份,业绩大幅上升,净利润1385000万元至1430000万元_增长幅度为249.97%至261.35%,2020-01-06
300507,苏奥传感,业绩预盈,净利润6514.30万元至9120.02万元_增长幅度为-25%至5%,2020-01-20
300511,雪榕生物,业绩大幅上升,净利润20500万元至25000万元_增长幅度为35.35%至65.06%,2020-01-15
300516,久之洋,业绩预盈,净利润5955.07万元至6581.91万元_增长幅度为-5%至5%,2020-01-15
300520,科大国创,业绩大幅上升,净利润9200万元至10600万元_增长幅度为88.29%至116.94%,2020-01-20
300545,联得装备,业绩预盈,净利润8000万元至9000万元_增长幅度为-6.18%至5.55%,2020-01-10
300552,万集科技,业绩大幅上升,净利润72898.84万元至91737.87万元_增长幅度为10984.92%至13849.56%,2020-01-14
300559,佳发教育,业绩大幅上升,净利润19000万元至21000万元_增长幅度为53.32%至69.46%,2020-01-20
300560,中富通,业绩大幅上升,净利润1372.30万元至1601.02万元_增长幅度为80%至110%,2020-03-27
300560,中富通,业绩预盈,净利润4973.02万元至6728.20万元_增长幅度为-15%至15%,2020-01-04
300562,乐心医疗,业绩大幅上升,净利润468.64万元至542.64万元_增长幅度为90%至120%,2020-03-02
300572,安车检测,业绩大幅上升,净利润18500.00万元至20500.00万元_增长幅度为47.65%至63.61%,2020-01-14
300580,贝斯特,业绩预盈,净利润2776.73万元至3756.75万元_增长幅度为-15%至15%,2020-03-26
300582,英飞特,业绩大幅上升,净利润9136.62万元至11245.07万元_增长幅度为30%至60%,2020-01-15
300586,美联新材,业绩大幅上升,净利润8861.43万元至10760.30万元_增长幅度为40%至70%,2020-01-24
300587,天铁股份,业绩大幅上升,净利润11500万元至12300万元_增长幅度为47.49%至57.75%,2020-01-15
300593,新雷能,业绩大幅上升,净利润6000万元至6600万元_增长幅度为67.62%至84.38%,2020-01-17
300596,利安隆,业绩大幅上升,净利润30000.00万元至33000.00万元_增长幅度为55.38%至70.92%,2020-01-03
300617,安靠智电,业绩大幅上升,净利润4000万元至4500万元_增长幅度为90.40%至114.20%,2020-01-17
300630,普利制药,业绩大幅上升,净利润27214.10万元至30842.64万元_增长幅度为50%至70%,2020-01-14
300636,同和药业,业绩大幅上升,净利润983.51万元至1117.63万元_增长幅度为120%至150%,2020-03-07
300638,广和通,业绩大幅上升,净利润16491.41万元至18227.35万元_增长幅度为90%至110%,2020-01-18
300645,正元智慧,业绩预盈,净利润4700万元至5200万元_增长幅度为-6.66%至3.27%,2020-01-15
300658,延江股份,业绩大幅上升,净利润7291.71万元至8750.05万元_增长幅度为50%至80%,2020-01-15
300664,鹏鹞环保,业绩大幅上升,净利润29000.00万元至30500.00万元_增长幅度为72.37%至81.29%,2020-01-10
300668,杰恩设计,业绩预盈,净利润7942.62万元至9196.72万元_增长幅度为-5%至10%,2020-01-20
300678,中科信息,业绩大幅上升,净利润80.07万元至92.39万元_增长幅度为30%至50.01%,2020-03-27
300701,森霸传感,业绩大幅上升,净利润2375.46万元至2714.81万元_增长幅度为40%至60%,2020-03-27
300715,凯伦股份,业绩大幅上升,净利润11718.50万元至13671.59万元_增长幅度为80%至110%,2020-01-17
300720,海川智能,业绩预盈,净利润4197.68万元至5130.50万元_增长幅度为-10%至10%,2020-01-17
300738,奥飞数据,业绩大幅上升,净利润7030万元至7310万元_增长幅度为393.92%至413.59%,2020-03-10
300738,奥飞数据,业绩大幅上升,净利润9880万元至10520万元_增长幅度为70.56%至81.60%,2020-01-07
300751,迈为股份,业绩预盈,净利润5401.91万元至7308.47万元_增长幅度为-15%至15%,2020-03-28
