id,stock_index,stock_name,jijin_num,stock_date,day,jijin_date
2,002081,金螳螂,7,2020_02_20,2020_02_20,2019-12-31
1,601958,金钼股份,7,2020_02_20,2020_02_20,2019-12-31
2,000034,神州数码,7,2020_02_20,2020_02_20,2019-12-31
2,002414,高德红外,7,2020_02_20,2020_02_20,2019-12-31
2,300035,中科电气,7,2020_02_20,2020_02_20,2019-12-31
2,002430,杭氧股份,7,2020_02_20,2020_02_20,2019-12-31
1,601222,林洋能源,7,2020_02_20,2020_02_20,2019-12-31
2,002318,久立特材,7,2020_02_20,2020_02_20,2019-12-31
2,300034,钢研高纳,7,2020_02_20,2020_02_20,2019-12-31
2,002376,新北洋,7,2020_02_20,2020_02_20,2019-12-31
2,300081,恒信东方,7,2020_02_20,2020_02_20,2019-12-31
2,300379,东方通,7,2020_02_20,2020_02_20,2019-12-31
1,600015,华夏银行,7,2020_02_20,2020_02_20,2019-12-31
2,300363,博腾股份,7,2020_02_20,2020_02_20,2019-12-31
1,603606,东方电缆,7,2020_02_20,2020_02_20,2019-9-30
1,603859,能科股份,7,2020_02_20,2020_02_20,2019-12-31
2,300416,苏试试验,7,2020_02_20,2020_02_20,2019-12-31
2,300406,九强生物,7,2020_02_20,2020_02_20,2019-12-31
1,603601,再升科技,7,2020_02_20,2020_02_20,2019-12-31
1,603337,杰克股份,7,2020_02_20,2020_02_20,2019-12-31
1,603496,恒为科技,7,2020_02_20,2020_02_20,2019-12-31
1,603063,禾望电气,7,2020_02_20,2020_02_20,2019-12-31
1,603711,香飘飘,7,2020_02_20,2020_02_20,2019-12-31
1,603583,捷昌驱动,7,2020_02_20,2020_02_20,2019-12-31
2,300751,迈为股份,7,2020_02_20,2020_02_20,2019-12-31
1,688366,昊海生科,7,2020_02_20,2020_02_20,2019-12-31
1,603983,丸美股份,7,2020_02_20,2020_02_20,2019-12-31
2,300769,德方纳米,7,2020_02_20,2020_02_20,2019-12-31
1,603489,八方股份,7,2020_02_20,2020_02_20,2019-12-31
1,688123,聚辰股份,7,2020_02_20,2020_02_20,2019-12-31
2,000031,大悦城,6,2020_02_20,2020_02_20,2019-12-31
2,000823,超声电子,6,2020_02_20,2020_02_20,2019-12-31
2,000537,广宇发展,6,2020_02_20,2020_02_20,2019-12-31
1,600895,张江高科,6,2020_02_20,2020_02_20,2019-12-31
1,601788,光大证券,6,2020_02_20,2020_02_20,2019-12-31
2,000915,山大华特,6,2020_02_20,2020_02_20,2019-12-31
1,600282,南钢股份,6,2020_02_20,2020_02_20,2019-12-31
1,600085,同仁堂,6,2020_02_20,2020_02_20,2019-12-31
1,600642,申能股份,6,2020_02_20,2020_02_20,2019-9-30
1,600990,四创电子,6,2020_02_20,2020_02_20,2019-12-31
2,002016,世荣兆业,6,2020_02_20,2020_02_20,2019-9-30
1,600398,海澜之家,6,2020_02_20,2020_02_20,2019-12-31
1,600350,山东高速,6,2020_02_20,2020_02_20,2019-12-31
1,600018,上港集团,6,2020_02_20,2020_02_20,2019-12-31
1,600863,内蒙华电,6,2020_02_20,2020_02_20,2019-12-31
2,002609,捷顺科技,6,2020_02_20,2020_02_20,2019-12-31
2,002191,劲嘉股份,6,2020_02_20,2020_02_20,2019-12-31
2,002595,豪迈科技,6,2020_02_20,2020_02_20,2019-12-31
1,601168,西部矿业,6,2020_02_20,2020_02_20,2019-12-31
1,601699,潞安环能,6,2020_02_20,2020_02_20,2019-12-31
2,002131,利欧股份,6,2020_02_20,2020_02_20,2019-12-31
2,002262,恩华药业,6,2020_02_20,2020_02_20,2019-12-31
2,002128,露天煤业,6,2020_02_20,2020_02_20,2019-12-31
2,002470,金正大,6,2020_02_20,2020_02_20,2019-9-30
2,002105,信隆健康,6,2020_02_20,2020_02_20,2019-12-31
2,002548,金新农,6,2020_02_20,2020_02_20,2019-9-30
2,300196,长海股份,6,2020_02_20,2020_02_20,2019-12-31
2,002028,思源电气,6,2020_02_20,2020_02_20,2019-12-31
1,603636,南威软件,6,2020_02_20,2020_02_20,2019-12-31
2,300420,五洋停车,6,2020_02_20,2020_02_20,2019-9-30
1,603598,引力传媒,6,2020_02_20,2020_02_20,2019-12-31
1,603043,广州酒家,6,2020_02_20,2020_02_20,2019-12-31
2,300543,朗科智能,6,2020_02_20,2020_02_20,2019-12-31
2,300570,太辰光,6,2020_02_20,2020_02_20,2019-12-31
1,603858,步长制药,6,2020_02_20,2020_02_20,2019-12-31
1,603378,亚士创能,6,2020_02_20,2020_02_20,2019-12-31
1,600637,东方明珠,6,2020_02_20,2020_02_20,2019-12-31
2,300613,富瀚微,6,2020_02_20,2020_02_20,2019-9-30
2,300653,正海生物,6,2020_02_20,2020_02_20,2019-9-30
2,300609,汇纳科技,6,2020_02_20,2020_02_20,2019-9-30
2,002920,德赛西威,6,2020_02_20,2020_02_20,2019-12-31
1,603214,爱婴室,6,2020_02_20,2020_02_20,2019-12-31
2,002928,华夏航空,6,2020_02_20,2020_02_20,2019-12-31
2,300741,华宝股份,6,2020_02_20,2020_02_20,2019-9-30
2,300766,每日互动,6,2020_02_20,2020_02_20,2019-9-30
1,603317,天味食品,6,2020_02_20,2020_02_20,2019-12-31
1,688020,方邦股份,6,2020_02_20,2020_02_20,2019-12-31
1,603613,国联股份,6,2020_02_20,2020_02_20,2019-12-31
1,688300,联瑞新材,6,2020_02_20,2020_02_20,2019-12-31
1,603786,科博达,6,2020_02_20,2020_02_20,2019-12-31
1,688036,传音控股,6,2020_02_20,2020_02_20,2019-12-31
2,000966,长源电力,5,2020_02_20,2020_02_20,2019-9-30
2,000036,华联控股,5,2020_02_20,2020_02_20,2019-12-31
2,000933,神火股份,5,2020_02_20,2020_02_20,2019-12-31
1,600307,酒钢宏兴,5,2020_02_20,2020_02_20,2019-12-31
1,600808,马钢股份,5,2020_02_20,2020_02_20,2019-12-31
2,000783,长江证券,5,2020_02_20,2020_02_20,2019-12-31
1,600188,兖州煤业,5,2020_02_20,2020_02_20,2019-12-31
1,600480,凌云股份,5,2020_02_20,2020_02_20,2019-12-31
1,600409,三友化工,5,2020_02_20,2020_02_20,2019-12-31
2,000009,中国宝安,5,2020_02_20,2020_02_20,2019-12-31
1,600728,佳都科技,5,2020_02_20,2020_02_20,2019-12-31
1,600557,康缘药业,5,2020_02_20,2020_02_20,2019-12-31
1,600743,华远地产,5,2020_02_20,2020_02_20,2019-9-30
2,000869,张裕A,5,2020_02_20,2020_02_20,2019-12-31
1,600236,桂冠电力,5,2020_02_20,2020_02_20,2019-12-31
1,600155,华创阳安,5,2020_02_20,2020_02_20,2019-12-31
1,600723,首商股份,5,2020_02_20,2020_02_20,2019-9-30
2,000681,视觉中国,5,2020_02_20,2020_02_20,2019-12-31
2,000413,东旭光电,5,2020_02_20,2020_02_20,2019-9-30
1,600782,新钢股份,5,2020_02_20,2020_02_20,2019-12-31
2,000623,吉林敖东,5,2020_02_20,2020_02_20,2019-12-31
2,000528,柳工,5,2020_02_20,2020_02_20,2019-12-31
2,002056,横店东磁,5,2020_02_20,2020_02_20,2019-12-31
1,601800,中国交建,5,2020_02_20,2020_02_20,2019-12-31
2,002111,威海广泰,5,2020_02_20,2020_02_20,2019-12-31
2,002155,湖南黄金,5,2020_02_20,2020_02_20,2019-12-31
2,300114,中航电测,5,2020_02_20,2020_02_20,2019-12-31
2,002124,天邦股份,5,2020_02_20,2020_02_20,2019-12-31
2,002317,众生药业,5,2020_02_20,2020_02_20,2019-12-31
2,002244,滨江集团,5,2020_02_20,2020_02_20,2019-12-31
2,002387,维信诺,5,2020_02_20,2020_02_20,2019-9-30
2,300224,正海磁材,5,2020_02_20,2020_02_20,2019-12-31
2,002461,珠江啤酒,5,2020_02_20,2020_02_20,2019-12-31
2,002449,国星光电,5,2020_02_20,2020_02_20,2019-12-31
2,300129,泰胜风能,5,2020_02_20,2020_02_20,2019-12-31
1,601567,三星医疗,5,2020_02_20,2020_02_20,2019-9-30
2,300323,华灿光电,5,2020_02_20,2020_02_20,2019-12-31
1,600804,鹏博士,5,2020_02_20,2020_02_20,2019-9-30
2,300017,网宿科技,5,2020_02_20,2020_02_20,2019-12-31
2,002616,长青集团,5,2020_02_20,2020_02_20,2019-12-31
1,601369,陕鼓动力,5,2020_02_20,2020_02_20,2019-9-30
2,300348,长亮科技,5,2020_02_20,2020_02_20,2019-12-31
2,002734,利民股份,5,2020_02_20,2020_02_20,2019-12-31
2,002851,麦格米特,5,2020_02_20,2020_02_20,2019-12-31
1,603566,普莱柯,5,2020_02_20,2020_02_20,2019-12-31
2,300365,恒华科技,5,2020_02_20,2020_02_20,2019-12-31
2,300579,数字认证,5,2020_02_20,2020_02_20,2019-9-30
2,002737,葵花药业,5,2020_02_20,2020_02_20,2019-12-31
1,603600,永艺股份,5,2020_02_20,2020_02_20,2019-9-30
2,002736,国信证券,5,2020_02_20,2020_02_20,2019-12-31
