id,stock_index,stock_name,jzcsyl,stock_date
1,688198,佰仁医疗,0.2164,2020_02_22
1,688363,华熙生物,0.2159,2020_02_22
2,300572,安车检测,0.2157,2020_02_22
2,300014,亿纬锂能,0.2155,2020_02_22
1,600887,伊利股份,0.2155,2020_02_22
1,600587,新华医疗,0.2153,2020_02_22
2,000789,万年青,0.2151,2020_02_22
2,000596,古井贡酒,0.2151,2020_02_22
1,600338,西藏珠峰,0.2144,2020_02_22
1,603551,奥普家居,0.2141,2020_02_22
2,000568,泸州老窖,0.2137,2020_02_22
2,002916,深南电路,0.2133,2020_02_22
1,600340,华夏幸福,0.2132,2020_02_22
1,600309,万华化学,0.2131,2020_02_22
2,300630,普利制药,0.2131,2020_02_22
1,603508,思维列控,0.2131,2020_02_22
2,300487,蓝晓科技,0.212,2020_02_22
2,000661,长春高新,0.2119,2020_02_22
2,300564,筑博设计,0.2118,2020_02_22
1,688078,龙软科技,0.2112,2020_02_22
1,688123,聚辰股份,0.2102,2020_02_22
1,603868,飞科电器,0.209,2020_02_22
2,000537,广宇发展,0.2086,2020_02_22
2,300771,智莱科技,0.207,2020_02_22
2,002415,海康威视,0.2058,2020_02_22
2,000885,城发环境,0.2056,2020_02_22
2,002011,盾安环境,0.2051,2020_02_22
2,000963,华东医药,0.2049,2020_02_22
2,002304,洋河股份,0.2044,2020_02_22
1,600217,中再资环,0.2042,2020_02_22
1,603068,博通集成,0.2035,2020_02_22
1,603589,口子窖,0.2035,2020_02_22
2,002032,苏泊尔,0.2034,2020_02_22
2,300236,上海新阳,0.2032,2020_02_22
1,600507,方大特钢,0.2029,2020_02_22
2,300015,爱尔眼科,0.2028,2020_02_22
2,300136,信维通信,0.2023,2020_02_22
2,300595,欧普康视,0.202,2020_02_22
2,300602,飞荣达,0.2016,2020_02_22
2,300632,光莆股份,0.2016,2020_02_22
2,300601,康泰生物,0.2013,2020_02_22
2,002833,弘亚数控,0.201,2020_02_22
1,600398,海澜之家,0.2001,2020_02_22
1,601360,三六零,0.1997,2020_02_22
2,300770,新媒股份,0.1996,2020_02_22
1,688398,赛特新材,0.1989,2020_02_22
1,600585,海螺水泥,0.1982,2020_02_22
1,603369,今世缘,0.198,2020_02_22
2,002507,涪陵榨菜,0.1971,2020_02_22
2,300418,昆仑万维,0.1971,2020_02_22
1,600436,片仔癀,0.1964,2020_02_22
1,600452,涪陵电力,0.1963,2020_02_22
1,688178,万德斯,0.1958,2020_02_22
2,000031,大悦城,0.194,2020_02_22
2,002463,沪电股份,0.1939,2020_02_22
2,300783,三只松鼠,0.193,2020_02_22
2,002035,华帝股份,0.1926,2020_02_22
1,603886,元祖股份,0.1919,2020_02_22
2,002600,领益智造,0.1918,2020_02_22
2,002372,伟星新材,0.1913,2020_02_22
2,000848,承德露露,0.1902,2020_02_22
2,000043,中航善达,0.1899,2020_02_22
2,300809,华辰装备,0.1897,2020_02_22
2,300401,花园生物,0.189,2020_02_22
2,000717,韶钢松山,0.189,2020_02_22
1,603737,三棵树,0.1889,2020_02_22
2,000858,五粮液,0.1887,2020_02_22
1,601100,恒立液压,0.1883,2020_02_22
2,300028,金亚科技,0.1878,2020_02_22
1,688288,鸿泉物联,0.1864,2020_02_22
2,300559,佳发教育,0.1857,2020_02_22
1,603983,丸美股份,0.1847,2020_02_22
1,600690,海尔智家,0.1844,2020_02_22
1,600267,海正药业,0.1843,2020_02_22
1,603505,金石资源,0.1837,2020_02_22
2,300146,汤臣倍健,0.1836,2020_02_22
2,002271,东方雨虹,0.1831,2020_02_22
1,603517,绝味食品,0.1827,2020_02_22
1,600995,文山电力,0.1826,2020_02_22
1,688006,杭可科技,0.1824,2020_02_22
2,000403,双林生物,0.1815,2020_02_22
2,300725,药石科技,0.1815,2020_02_22
1,603816,顾家家居,0.1815,2020_02_22
1,603053,成都燃气,0.1808,2020_02_22
